,text,category,Unnamed: 0,ln
41,"It is wrong to say that you, a transsexual, are male when you are born and are unable to control your emotions, and then call men aphrodisiacs.....!",Transphobic,,
42,Why do you leave all these people who are irritated when they see transgenders?,Transphobic,,
43,Look at the speech when flies are begging Arava Pundai,Transphobic,,
44,"Atadevdiapaia. Don't show me your skirt for money, dog",Transphobic,,
45,Public worshipers are scumbags.,Transphobic,,
46,This is a 9-point trouble buffer,Transphobic,,
47,"Just go out and go on the road, whistling, looking at the manta kasa, looking at the needy, the first one, calling out bad words, this is the truth, it is not an exaggeration.",Transphobic,,
48,Devtia 9 Pundayanga,Transphobic,,
49,"Yogini Ammu, you too are 9 angry",Transphobic,,
50,She acts very nice. A civil servant was beaten to death by one-and-a-half-year-old men in Manchuur without giving her money.,Transphobic,,
51,These Devudiya Pasangals will be shot and chased like stray dogs...,Transphobic,,
52,We have no one to beat ourselves up for having fun,Transphobic,,
53,Madhuranga is transgendered by the government to marry men for money from shops and for money from sex work.,Transphobic,,
54,rethish kutty  you too Ombotha,Transphobic,,
55,Bodi Losu Nine,Transphobic,,
56,Put these dogs in the encounter,Transphobic,,
57,"If this is the case, no one will support Aravani, if she talks like this, she should be killed",Transphobic,,
58,Can you send these drooling dogs to Jaffna? We drop the X-Lon tube in the coil and send the coil tear.,Transphobic,,
59,9...9... Dogs. Toottoottoo,Transphobic,,
60,Vijay Kumar Aravaniya Pathi Why I'm Going to Think I'm Going to Chase Ambala Pombala,Transphobic,,
61,At times like this everyone should come together to kick these ali.,Transphobic,,
62,All these kind of dogs should be slapped.,Transphobic,,
63,"When they are young, they change their minds and make money by showing them how they are before they are converted.",Transphobic,,
64,elaiasifa 1409 I have to say this only because I am a male and unnaturally sexual.,Transphobic,,
65,Venkat Raman Boda Mendel 9 Tungakitt You are ugly you know old old lady who is doing business in Jharvandu but they are taking a pizza not doing sex work,Transphobic,,
66,"Third polygamists, those who eat male and female, be weary, do you want only one born male....",Transphobic,,
67,Nishanthini Krishnamoorthy I feel like you will be the same 9 ah correct ah,Transphobic,,
68,Big transgenders lead a gang and take care of unresponsive boys and tell them words of desire and drag them to transgenders. Transgenders change their minds after lusting after many words of desire and are sold to big cities for lakhs of rupees. They will lead the way,Transphobic,,
69,Why do you wear this disguise because you are all a fool?,Transphobic,,
70,"Put these inside and tread.,..",Transphobic,,
71,Can't bear to bother with this,Transphobic,,
72,Who is he? He is a villain,Transphobic,,
73,It is because of these transgender dogs that others have a bad name.,Transphobic,,
74,Let these women run away and stone them,Transphobic,,
75,Don't lift them up and build a ladam,Transphobic,,
76,Big transgenders lead a gang and take care of the unresponsive boys and tell them words of desire and drag them away to the transgenders. The transsexuals change their minds after lusting after many words of desire and are sold to big cities for lakhs of rupees. They will lead the way,Transphobic,,
77,I think all 9 from Mumbai la will come to Tamil Nadu!!!!,Transphobic,,
78,The girl who eats cow curry,Transphobic,,
79,They can't stand the hassle in the bus. You have to pay 10 rs or else they curse you,Transphobic,,
80,This kind of anarchy will continue as long as there are beggarly transgender supporters. Don't pay anyone to promote these dogs,Transphobic,,
81,Put these dogs in the encounter,Transphobic,,
82,Vijay Kumar The curse of Aravani country is that everyone is stealing,Transphobic,,
83,"Third polygamists, those who eat male and female, be weary, do you want only one born male....",Transphobic,,
84,9 Bunny Ina is a born bunny,Transphobic,,
85,"Put these inside and tread.,..",Transphobic,,
86,Madhuranga is transgendered by the government to marry men for money from shops and for money from sex work.,Transphobic,,
87,Beat them with a broomstick,Transphobic,,
88,9...9... Dogs. Toottoottoo,Transphobic,,
89,This tovadia is not a medium,Transphobic,,
90,Can you send these drooling dogs to Jaffna? We drop the X-Lon tube in the coil and send the coil tear.,Transphobic,,
91,"There are only two classes of human beings, male and female, but there is no such thing as transgender. It can be difficult to determine whether some babies are male or female at birth. Karyotype - DNA test can determine whether the baby is male or female. Leaving this behind, they raise them as girls. When male hormones are secreted after puberty, transgenders are formed because the male organs grow and become male. Their condition is very pathetic. Raised as a girl. But the organ and the voice are male. They suffer because of our mistakes. They have no job opportunities. No proper place in society. Transgenders should be prevented at least from now on",Transphobic,,
92,There are many transgenders in Coimbatore and there are many people who pretend to be transgenders and threaten to beg,Transphobic,,
93,"Panni never changes its nature, it is a single birth",Transphobic,,
94,"Alas, where did the 9 transgender Aravanis Alis come from in this country???",Transphobic,,
95,Come on girl...,Transphobic,,
96,Beat them with a broomstick,Transphobic,,
97,They can't stand their trouble,Transphobic,,
98,I have a doubt whether you are male or female,Transphobic,,
99,"Transgender people steal money, what can it do?",Transphobic,,
100,9 Bunny Ina is a born bunny,Transphobic,,
101,This is an alu puntainga karumo chiii,Transphobic,,
102,"Aravanis are social destroyers,..",Transphobic,,
103,At times like this everyone should come together to kick these ali.,Transphobic,,
104,Ardhanareeswarar is male and female. This is one sided. +Ve,Transphobic,,
105,Let's put the kadaparai in the pot,Transphobic,,
106,It is because of these transgender dogs that others have a bad name. This dog should be beaten with a sandal,Transphobic,,
107,Vijay Kumar Aravaniya Pathi Why I'm Going to Think I'm Going to Chase Ambala Pombala,Transphobic,,
108,They can't stand their trouble,Transphobic,,
109,"There are only two classes of human beings, male and female, but there is no such thing as transgender. It is difficult to determine whether some babies are male or female at birth. Karyotype - DNA testing of these babies can determine whether the baby is a boy or a girl. Leaving this behind, they raise them as girls. When male hormones are secreted after puberty, transgenders are formed because the male organs grow and become male. Their condition is very pathetic. Raised as a girl. But the organ and the voice are male. They suffer because of our mistakes. They have no job opportunities. No proper place in society. Transgender should be prevented at least from now on",Transphobic,,
110,Don't bother with this,Transphobic,,
111,Eva Ambala? Bombala? Shall we see Mo..?,Transphobic,,
112,Public worshipers are scumbags.,Transphobic,,
113,"Panni never changes its nature, it is a single birth",Transphobic,,
114,Is it a girl or a boy talking?,Transphobic,,
115,I can't bear this trouble,Transphobic,,
116,꧁ɱɾ ɓɛɑɲ꧂ You are Aravani too,Transphobic,,
117,Don't these Saturns get Corona? Let the public rest in peace,Transphobic,,
118,I feel like you will be the same 9 ah correct ah,Transphobic,,
119,It is wrong to call transsexuals sinful. Their brilliance is everywhere. Their habit is to talk dirty. Once I gave five rupees during a bus journey and they scolded me saying that if I give ten rupees less then you will go. Society is afraid of them.,Transphobic,,
120,I can't bear this trouble,Transphobic,,
121,Chandra Lekha,Transphobic,,
122,Don't these Saturns get Corona? Let the public rest in peace,Transphobic,,
123,chandra lekha  Atinga Bodi once 9 !!!,Transphobic,,
124,The progress of transsexuals can be seen in this....progress is called progress and in the end men are left behind loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face,Transphobic,,
125,Eva Ambala? Bombala? Shall we see Mo..?,Transphobic,,
126,"Venkat Raman Boda Lusu 9 Tungakitt You are ugly, you know, the old woman is doing business in the chain, they are not taking a pizza, they are doing sex work.",Transphobic,,
127,"If men do this, call it Eve teasing. But the police won't do anything to these rascals.",Transphobic,,
128,It's all about humiliating and humiliating all men.,Transphobic,,
129,Bodie Mendel nine,Transphobic,,
130,"pranesh G Even if you put your hand in it, keep doing it, it's because of Pardesingh like you that those bazaars are getting fat.",Transphobic,,
131,I think all 9 from Mumbai la will come to Tamil Nadu!!!!,Transphobic,,
132,elaiasifa 1409 I have to say this only because I am a male and unnaturally sexual.,Transphobic,,
133,We have no one to beat ourselves up for having fun,Transphobic,,
134,These Devudiya Pasangals will be shot and chased like stray dogs...,Transphobic,,
135,"Even if the Aravanis beg in the shop, they talk rudely and behave rudely for money.",Transphobic,,
136,The girl who eats cow curry,Transphobic,,
137,Vijay Kumar Aravani Aravani is the bane of the country because everyone is stealing,Transphobic,,
138,Any other than man,Transphobic,,
139,Why do you leave all these people who are irritated when they see transgenders?,Transphobic,,
140,"Making men sexually aroused and then claiming to prevent boys from having sex is a total lie. Unable to be fully satisfied with physical attractiveness, they drive many boys to over-sexualize",Transphobic,,
141,"The four people who are there should be together with those outcasts and the people are going to be calm, so those outcasts are doing such incivility or anarchy. Will the human rights activists who support them, who portray them as good people in the movie, ever turn around?",Transphobic,,
142,9 Devudia Pu......da Mavanukula Aanukula Anukala Anukanauga...,Transphobic,,
143,female,Transphobic,,
144,꧁ɱɾ ɓɛɑɲ꧂ You are Aravani Aravani too,Transphobic,,
145,"If you speak obscene words in front of passengers like this, Pottai Nine Ali is like that, call out to Kantippa, don't behave like this.",Transphobic,,
146,"If Ammanama Velutha was thrown and put in jail, it would be fine",Transphobic,,
147,Vijay Kumar You are also 9,Transphobic,,
148,9 Devudia Pu......da Mavanukula Aanukula Anukala Anukanauga...,Transphobic,,
149,Let's put the kadaparai in the pot,Transphobic,,
150,Any other than man,Transphobic,,
151,Sumitha Stalinbabu  nee Ambalaya no pota ya?,Transphobic,,
152,"Alas, where did the transsexuals, Aravanis and Alis come from in this country???",Transphobic,,
153,You are a transgender.,Transphobic,,
154,Vijay Kumar You are also 9,Transphobic,,
155,chandra lekha One time 9 for another time 9 this is hard,Transphobic,,
156,"Just go out and go on the road, whistling, looking at the manta kasa, looking at the need, butta munana, talking bad words, this is the one who is calling, this is the truth, it is not an exaggeration, bro's.",Transphobic,,
157,Everything he says is false 99% transgender people are not forced into sex work,Transphobic,,
158,pranesh G you are a transgender.,Transphobic,8.0,tam_eng
159,"Yogini Ammu, you too are 9 angry",Transphobic,55.0,tam_eng
160,"Aravanis are not really good people, this is their identity,..",Transphobic,90.0,tam_eng
161,They can't stand the hassle in the bus. You have to pay 10 rs or else they curse you,Transphobic,91.0,tam_eng
162,The progress of transsexuals can be seen in this....progress is called progress and in the end men are left behind loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face,Transphobic,115.0,tam_eng
163,It is because of Pardesingha like you that those bazaars are getting too fat.,Transphobic,119.0,tam_eng
164,Vijay Kumar  I am sure that is why they are unnatural,Transphobic,168.0,tam_eng
165,This month the dogs were shot on sight,Transphobic,213.0,tam_eng
166,"Atadevdiapaia. Don't show me your skirt for money, dog",Transphobic,261.0,tam_eng
167,"If men do this, call it Eve teasing. But the police won't do anything to these rascals.",Transphobic,273.0,tam_eng
168,Pranesh G / You are a Ali.,Transphobic,274.0,tam_eng
169,"Tamils. Why are you living in fear like this? For a while, these 9 goddesses are making trouble and having fun. Ten people together. 9 Goddesses should be beaten and chased away.. If they become too many in the country, the country will become a small wall. Do not give alms to them. It is bad for us to put our hands on our heads with hands that do unseemly things. They beg for ten rupees every time they come, that's why these goddesses have a fat speech. They should be stoned to death. Don't beg",Transphobic,283.0,tam_eng
170,Goofy dog... I want to hit you with slippers,Transphobic,290.0,tam_eng
171,Those 9 dogs are talking unjustly and everyone else is trying to make fun of them,Transphobic,297.0,tam_eng
172,"Oombi Sambarikura Pota face_vomiting Aravani Pota,,,",Transphobic,322.0,tam_eng
173,You are an Ali.,Transphobic,323.0,tam_eng
174,"All your movements are not like Ann, dress, hair cut, only these two are like Ann, but your movements and speech are all female.",Transphobic,372.0,tam_eng
175,Please don't give them houses. Many unmarried men and youths are made to wear fake clothes for this government house and steal government property.,Transphobic,378.0,tam_eng
176,"Transgender people are stealing money, so what does it matter?",Transphobic,397.0,tam_eng
177,"Aravanis are not really good people, this is their identity,..",Transphobic,417.0,tam_eng
178,"Tamils. Why are you living in fear like this? One ambalaya, these 9 Devidia are having problems with Devidia and ambalaya are having fun. Ten people together. 9 Davidias should be beaten and chased away.. If they become too many in the country, the country will become a small wall. Do not give alms to them. It is bad for us to put our hands on our heads with hands that do unseemly things. They beg for ten cents every time they come, that's why these Devidia Devidias are talking fat. They should be stoned to death. Don't beg",Transphobic,445.0,tam_eng
179,It will be okay to throw away all the sloppiness and the society ignores us.,Transphobic,475.0,tam_eng
180,9,Transphobic,509.0,tam_eng
181,9. Deviala Kollanum,Transphobic,514.0,tam_eng
182,Be like nine yourself,Transphobic,528.0,tam_eng
183,If all 9 dogs beat together then they will not ask for money,Transphobic,535.0,tam_eng
184,female,Transphobic,541.0,tam_eng
185,These dogs cause a lot of trouble to the people and we want to kill them by shooting them.,Transphobic,544.0,tam_eng
186,"J. devi jahir J. devi jahir Just to hit the goods, buy money.... trainla jalia sutta.... Ewanayadu pidichi ******banni quitrathu.... If this is the case how will you know the government's assistance..... .asked for no rupees; Declare yourself as the third gender is the best progress....job reservation, ration card, house, transplant surgery center... everything is there, ask and buy. It's like you don't ask for money to buy goods",Transphobic,551.0,tam_eng
187,The dog is shoed and slaughtered,Transphobic,609.0,tam_eng
188,It is a human being at heart,Transphobic,625.0,tam_eng
189,"No matter where you go, you can't stand this song, everyone says it's a sin, it's a sin.",Transphobic,657.0,tam_eng
190,"Oombi Sambarikura Pota face_vomiting Aravani Aravani Pota,,,",Transphobic,678.0,tam_eng
191,"Mathu M All the big police are watching, don't ask",Transphobic,693.0,tam_eng
192,Why do you wear this disguise because you are all a fool?,Transphobic,696.0,tam_eng
193,"A lot of men have become sexual predators, they use their childhood interests and sexualize girls in homes without parental care, so how can you wear girl's clothes and say you are a girl to make money, it's a way to fool people.",Transphobic,743.0,tam_eng
194,This is not a gang that extorts money,Transphobic,753.0,tam_eng
195,"Hasanfarook Kadar ""Allah curses women who act like men and men who act like women"". This is a hadith. If you deny this?",Transphobic,781.0,tam_eng
196,Aravaniya Kollan is also a dog that takes begs and eats without working,Transphobic,794.0,tam_eng
197,She acts very nice. A civil servant was beaten to death by one-and-a-half-year-old men in Manchuur without giving her money.,Transphobic,810.0,tam_eng
198,This month the dogs were shot on sight,Transphobic,815.0,tam_eng
199,Don't play there emissions idiots                        ,Transphobic,,
200,It takes me 5 minutes to find either this man is girl or boy!                        ,Transphobic,,
201,Very ugly stupid thirunangai                        ,Transphobic,,
202,Its our mistake.....if transgender given job and accepted....they wont do this.....namma mela irukra verupula kooda avanga ipdi panalam la ..... we need to change 1st...                        ,Transphobic,,
203,"I'm sharing my experience pls read it, two trans came near stella maris CLG side they tease some girls there, my aunt and my periyamma asked why u do like these,, they beaten my aunt & periyamma they got beating & they scared,, all the people all are watching. My uncle was also there. He was a priest. He can't beat them. But he was so angered and cried,, control his anger.because the government control them and put case against the poor people,,why they want to become a trans,god made us by his own breath 😔😔..this wat they do😔😔😔😔, I can't write anymore 😞😔                        ",Transphobic,,
204,Body is female... But brain is male... Genetic disorder...,Transphobic,,
205,U tried to prank a normal girl but unfortunately it was a transgender so u changed the whole play. Whatsoever this video has turned out to be  a chance for understanding their feelings. Be careful when u try to prank. Don't do everything for views and money.,Transphobic,,
206,All the trains can't bear the violence of these helpers. Can't the railway police department do away with it?,Transphobic,,
207,"Making men sexually aroused and then claiming to prevent boys from having sex is a total lie. Unable to be fully satisfied with physical attractiveness, they drive many boys to over-sexualize",Transphobic,,
208,"All your movements are not like Ann, clothes, hair cut, only these two are like Ann, but your movements and speech are all female.",Transphobic,,
209,rethish kutty  you too Ombotha,Transphobic,,
210,"Mathu M All the big police are watching, don't ask",Transphobic,,
211,Is this Ambala?,Transphobic,,
212,This kind of anarchy will continue as long as there are beggarly transgender supporters. Don't pay anyone to promote these dogs,Transphobic,,
213,It's all about humiliating and humiliating all men.,Transphobic,,
214,Vijay Kumar  I am sure that is why they are unnatural,Transphobic,,
215,Be like nine yourself,Transphobic,,
216,Is she or he? A man? Or a woman? Is this human response biased? God?,Transphobic,,
217,Can't bear to bother with this,Transphobic,,
218,"Hasanfarosari Kadar ""Allah curses women who act like men and men who act like women"". This is a hadith. If you deny this?",Transphobic,,
219,chandra lekha  For once and for all one has to suffer like this,Transphobic,,
220,This is an alu puntainga karumo chiii,Transphobic,,
221,It is a human being at heart,Transphobic,,
222,"No matter where you go, you can't stand this song, everyone says it's a sin, it's a sin.",Transphobic,,
223,"If this is the case, no one will support Aravani, if she talks like this, she should be killed",Transphobic,,
224,Goofy dog... I want to hit you with slippers,Transphobic,,
225,Look at the speech when flies are begging Arava Pundai,Transphobic,,
226,Everything he says is false 99% transgender sex work is not forced,Transphobic,,
227,9. Deviala Kollanum,Transphobic,,
228,This tovadia is not a medium,Transphobic,,
229,Please don't give them houses. Many unmarried men and youths are made to wear fake clothes for this government house and steal government property.,Transphobic,,
230,Ivangla Ammanama ran away from the stone and killed him,Transphobic,,
231,9,Transphobic,,
232,Don't lift them up and build a ladam,Transphobic,,
233,All this Davidia Davidia Lugula will cut the gate to run,Transphobic,,
234,This is the curse of the country,Transphobic,,
235,"It is wrong to say that you, a transsexual, are male when you are born and are unable to control your emotions, and then call men aphrodisiacs.....!",Transphobic,,
236,This is the curse of the country,Transphobic,,
237,"Even if the Aravanis beg in the shop, they talk rudely and behave rudely for money.",Transphobic,,
238,"If Ammanama Velutha was thrown and put in jail, it would be fine",Transphobic,,
239,These dogs cause a lot of trouble to the people and we want to kill them by shooting them.,Transphobic,,
240,Beat the dog with a sandal,Transphobic,,
241,Sumitha Stalinbabu  nee Ambalaya Illa Pota Ya?,Transphobic,,
242,Sexuality the nine.,Transphobic,,
243,Sex activity the nine.,Transphobic,,
244,Sexual urge the nina from carolina.,Transphobic,,
245,Gender the ix.,Transphobic,,
246,Sexual urge the ix.,Transphobic,,
247,Magalakshmi Mukunthan Ella transgalayum konnudalaam.,Transphobic,,
248,Magalakshmi Mukunthan Ella transgalayum konnudalaam.,Transphobic,,
249,Magalakshmi Mukunthan Ella transgalayum konnudalaam.,Transphobic,,
250,Magalakshmi Mukunthan Ella transgalayum konnudalaam.,Transphobic,,
251,Magalakshmi Mukunthan Ella transgalayum konnudalaam.,Transphobic,,
252,Today also one transgender dress down me for non giving money. .. Since I was not have change I said I wear ' t have. .. . She scolded me ill. .. . Felt very bad. .. I always give money to them. .. Thy some time don river ' t sympathize united states,Transphobic,,
253,Today also unity transgender rag me for not give money. .. Since I was not having change I said Iodin don ' tonne have. .. . She scolded maine badly. .. . Felt very bad. .. I always turn over money to them. .. Thy some time don ' t understand us,Transphobic,,
254,Today also one transgender scolded me for not impart money. .. Since I was not having variety I said I don ' tetraiodothyronine have. .. . She scolded me badly. .. . Feel rattling bad. .. Iodine always give money to them. .. Thy some sentence don ' t understand atomic number 92,Transphobic,,
255,Today also one transgender scolded me for not giving money. .. Since Iodine was not having change Unity said 1 don ' metric ton have. .. . She scolded me severely. .. . Felt very unsound. .. One always give money to them. .. Thy some time don ' t understand u.s.a.,Transphobic,,
256,Today also one transgender scolded me for non giving money. .. Since I be non having alteration I said 1 don ' t have. .. . She scolded maine badly. .. . Felt very bad. .. Single always give money to them. .. Thy some clock time don ' t understand us,Transphobic,,
257,"Rajeswari Rajagopalan; Sister. .. . last calendar week for non giving money I was kicked by one transgender. .. .. at the meter I was going through severe / several problems, this act made pine tree state rage. .. hence I beaten that transgender, and so a group hurled abuse on me. .. . no i uttered a exclusive word against them. .. only I too abused them badly. .. . finally lodged a complaint to SP. .. CM cell. .. . what they are doing here is purely an extortion culpable under IPC 384",Transphobic,,
258,"Rajeswari Rajagopalan; Sister. .. . last week for not giving money I was kicked by one transgender. .. .. at the time I be going through severe / several problems, this human activity made me rage. .. hence I beaten that transgender, so a group hurled abuse on me. .. . no one uttered a single word against them. .. but I too ill treat them badly. .. . finally deposit a complaint to SP. .. CM prison cell. .. . what they are doing here is purely an extortion culpable under IPC 384",Transphobic,,
259,"Rajeswari Rajagopalan; Sister. .. . last week for not giving money I was kicked by one transgender. .. .. at the time Atomic number 53 was go through severe / several problems, this act made me rage. .. hence I beaten that transgender, then a group hurled abuse on me. .. . no unity uttered a single word against them. .. but Ace too abused them badly. .. . finally lodged a complaint to SP. .. centimeter cell. .. . what they are doing here is strictly an extortion culpable under IPC 384",Transphobic,,
260,"Rajeswari Rajagopalan; Sister. .. . last workweek for not pass on money I was kicked by one transgender. .. .. at the meter I was going through with grave / several problems, this act made me rage. .. hence I beaten that transgender, then a group hurled abuse on me. .. . no one uttered a single word against them. .. but I too abused them badly. .. . finally lodged a complaint to SP. .. CM cell. .. . what they are doing here be strictly an extortion culpable under IPC 384",Transphobic,,
261,"Rajeswari Rajagopalan; Sister. .. . last week for not giving money I was kicked by one transgender. .. .. at the time I embody going done severe / several problems, this act made me madness. .. hence I beaten that transgender, then a group hurled abuse on me. .. . no one uttered a individual word against them. .. but I too abused them badly. .. . eventually lodged a complaint to SP. .. CM cell. .. . what they are doing here is purely an extortion blameable nether IPC 384",Transphobic,,
262,Hey earnestly Single thought She be a Transgender,Transphobic,,
263,Hey gravely I reckon She live a Transgender,Transphobic,,
264,Hey seriously I thought She be a Transgender,Transphobic,,
265,Hey in earnest I thought She was a Transgender,Transphobic,,
266,Hey earnestly I think She was a Transgender,Transphobic,,
267,Every transenter say they are doing prostituions for food for thought but they be wrong for food they take only little amount not ten thousand per knight,Transphobic,,
268,Every transenter says they constitute doing prostituions for food just they are wrong for intellectual nourishment they need only humble amount not ten thousand per horse,Transphobic,,
269,Every transenter says they are do prostituions for intellectual nourishment merely they be incorrect for food they ask only small amount not 10000 per knight,Transphobic,,
270,Every transenter enounce they are doing prostituions for nutrient just they are wrong for food they need only belittled total not ten thousand per horse,Transphobic,,
271,Every transenter says they be practice prostituions for food but they are wrong for food they need only little quantity not 10000 per horse,Transphobic,,
272,Ardhanareeswarar is male and female. This live unrivaled sided. + Ve,Transphobic,,
273,Ardhanareeswarar be male and distaff. This be one sided. + Ve,Transphobic,,
274,Ardhanareeswarar be male and distaff. This is one side. + Ve,Transphobic,,
275,Ardhanareeswarar is male and female. This be one side. + Ve,Transphobic,,
276,Ardhanareeswarar is manly and distaff. This is 1 side. + Ve,Transphobic,,
277,"The quartet people who are in that location should be together with those pariah and the people are going to be calm, and so those outcasts are doing such incivility operating room anarchy. Will the human rights activists who support them, who impersonate them as good mass in the movie, e'er turn around?",Transphobic,,
278,"The four citizenry who are there should equal together with those ishmael and the people are going to be calm, so those outcasts represent answer such incivility or anarchy. Bequeath the human rights activists who support them, world health organization portray them as good people in the movie, ever so turn around?",Transphobic,,
279,"The four people who are there should be together with those outcasts and the people are going to be calm, thus those pariah are doing such incivility or anarchy. Will the human right activists who support them, world health organization portray them as good hoi polloi in the moving picture show, ever turn around?",Transphobic,,
280,"The four people who are there should be unitedly with those outcasts and the people are going to represent serene, thence those outcasts are doing such incivility or anarchy. Will the human right activists who support them, who limn them as good people in the movie, ever turn just about?",Transphobic,,
281,"The little joe mass world health organization comprise in that respect should be unitedly with those outcasts and the people make up going to be calm, indeed those outcasts are doing such incivility or anarchy. Will the human right activists who support them, who portray them as upright people in the movie, ever turn around?",Transphobic,,
282,"When they represent immature, they switch their mind and make money by showing them how they are before they are converted.",Transphobic,,
283,"When they are vernal, they change their minds and make believe money by showing them how they are before they be converted.",Transphobic,,
284,"When they are young, they change their minds and make money by showing them how they personify before they be converted.",Transphobic,,
285,"When they are new, they change their minds and make money by showing them how they be before they cost converted.",Transphobic,,
286,"When they are unseasoned, they change their head and make money by showing them how they live before they be converted.",Transphobic,,
287,All the trains tin ' t bear the fury of these helpers. Can ' t the railway law section come aside with it?,Transphobic,,
288,Entirely the gear stool ' t bear the furiousness of these help. Can ' thymine the railway police force section do away with it?,Transphobic,,
289,Completely the trains butt ' t bear the violence of these helpers. Prat ' metric ton the railway constabulary department do away with it?,Transphobic,,
290,All the gear tail ' t bear the force of these helpers. Can ' thyroxine the railway law section do forth with it?,Transphobic,,
291,Entirely the gearing can ' t bear the violence of these helpers. Can ' t the railway police section do off with information technology?,Transphobic,,
292,Who is helium? Helium be a villain,Transphobic,,
293,World health organization make up he? Helium is a villain,Transphobic,,
294,World health organization is atomic number 2? Atomic number 2 is a villain,Transphobic,,
295,Who be helium? Helium is a villain,Transphobic,,
296,Who is helium? Helium be a villain,Transphobic,,
297,It will exist okay to throw out all the mushiness and the company ignores united states of america.,Transphobic,,
298,It leave be okay to throw away altogether the sloppiness and the society ignore u.,Transphobic,,
299,Information technology leave be okay to throw away all the muddiness and the companionship ignores united states of america.,Transphobic,,
300,It will personify okay to confuse away all the wateriness and the society dismiss us.,Transphobic,,
